GET,http://localhost:8080/tienda1/index.jsp,,normal
GET,http://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=Vino+Rioja&precio=100&cantidad=55&B1=A%F1adir+al+carrito,,normal
POST,http://localhost:8080/tienda1/publico/anadir.jsp,id=3&nombre=Vino+Rioja&precio=100&cantidad=55&B1=A%F1adir+al+carrito,normal
GET,http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=choong&pwd=d1se3ci%F3n&remember=off&B1=Entrar,,normal
POST,http://localhost:8080/tienda1/publico/autenticar.jsp,modo=entrar&login=choong&pwd=d1se3ci%F3n&remember=off&B1=Entrar,normal
GET,http://localhost:8080/tienda1/publico/caracteristicas.jsp?id=2,,normal
POST,http://localhost:8080/tienda1/publico/caracteristicas.jsp,id=2,normal
GET,http://localhost:8080/tienda1/publico/carrito.jsp,,normal
GET,http://localhost:8080/tienda1/publico/entrar.jsp?errorMsg=Credenciales+incorrectas,,normal
POST,http://localhost:8080/tienda1/publico/entrar.jsp,errorMsg=Credenciales+incorrectas,normal
GET,http://localhost:8080/tienda1/publico/miembros.jsp,,normal
GET,http://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=2672&B1=Pasar+por+caja,,normal
POST,http://localhost:8080/tienda1/publico/pagar.jsp,modo=insertar&precio=2672&B1=Pasar+por+caja,normal
GET,http://localhost:8080/tienda1/publico/productos.jsp,,normal
GET,http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=cen&password=40a5E&nombre=Nurit&apellidos=Ferrandez+Caba%F1as&email=tarpey%40bwds.ne&dni=17621392B&direccion=Calle+Clavel+30+11%3FB&ciudad=Tronch%F3n&cp=17463&provincia=C%E1ceres&ntc=1527409541807001&B1=Registrar,,normal
POST,http://localhost:8080/tienda1/publico/registro.jsp,modo=registro&login=cen&password=40a5E&nombre=Nurit&apellidos=Ferrandez+Caba%F1as&email=tarpey%40bwds.ne&dni=17621392B&direccion=Calle+Clavel+30+11%3FB&ciudad=Tronch%F3n&cp=17463&provincia=C%E1ceres&ntc=1527409541807001&B1=Registrar,normal
GET,http://localhost:8080/tienda1/publico/vaciar.jsp?B2=Vaciar+carrito,,normal
POST,http://localhost:8080/tienda1/publico/vaciar.jsp,B2=Vaciar+carrito,normal
GET,http://localhost:8080/tienda1/global/creditos.jsp,,normal
GET,http://localhost:8080/tienda1/global/menum.jsp,,normal
GET,http://localhost:8080/tienda1/global/titulo.jsp,,normal
GET,http://localhost:8080/tienda1/global/estilos.css,,normal
GET,http://localhost:8080/tienda1/miembros/imagenes/castro.jpg,,normal
GET,http://localhost:8080/tienda1/miembros/imagenes/ogono.jpg,,normal
GET,http://localhost:8080/tienda1/miembros/imagenes/zarauz.jpg,,normal
GET,http://localhost:8080/tienda1/miembros/index.jsp,,normal
GET,http://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=de_la&password=roder%F3n&nombre=Franklin&apellidos=Canella&email=pockaj-bushman%40lecriture.md&dni=29283698Y&direccion=Calle+Palencia+S%2FN+&ciudad=Tirapu&cp=25320&provincia=Madrid&ntc=4789967077221120&B1=Registrar,,normal
